时间,点赞,评论
2021.12.23,5582,早安考研摆烂人[吃瓜]
2021.12.23,2706,怎么做到每一句都对应歌词的啊这也太牛了吧[保卫萝卜_笔芯]
2021.12.23,466,我甚至感觉为了这个视频歌手才唱了这首歌[藏狐]
2021.12.23,1804,不是，这期质量炸裂好吧，少玩点梗多发点视频相关不好吗[捂脸]
2021.12.23,774,其实我挺想知道今年考研为什么会有五百多万人，今年高考考生也才不过一千万，群里每天都是一堆早安考研人，我感觉全世界就我没有考研了[藏狐]
2021.12.23,33,刚上厕所没纸了，突然看到这个视频，就觉得人生没有什么过不去的坎，不擦了，怀着自信走了出去，从来都没有这么自信过，谢谢你的视频
2021.12.23,513,刚入宫的甄狗已经SI了，难道皇上您忘了吗？是您亲手带它去了医院，臣妾是钮祜禄·培盛[阴险]
2021.12.23,570,馍馍不卡点了，开始卡歌词了，看起来真的好舒服啊！还有迟到的祝福：恭喜馍馍破百万粉！[打call][打call][脱单doge]
2021.12.23,771,早安！和我一样上班但是在刷视频的摸鱼人[吃瓜]
2021.12.23,360,建议改成孤勇者MV
2021.12.23,109,哈哈哈哈哈哈哈哈哈来吧禽兽！！
2021.12.23,75,本期看点：都是勇敢的你额头的伤口你的不同你犯的错都不必隐藏你破旧的玩偶你的面具你的自我他们说要带着光驯服每一头怪兽他们说要缝好你的伤没有人爱小丑为何孤独不可光荣人只有不完美值得歌颂谁说污泥满身的不算英雄爱你孤身走暗巷爱你不跪的模样爱你对峙过绝望不肯哭一场爱你破烂的衣裳却敢堵命运的枪爱你和我那么像缺口都一样去吗配吗这褴褛的披风战吗战啊以最卑微的梦致那黑夜中的呜咽与怒吼谁说站在光里的才算英雄
2021.12.23,55,总有一天全b站的人都会关注我[doge]
2021.12.23,58,别打我，别打我，啊不要，啊不要，俺完啦[doge]
2021.12.23,79,早安，疫情封城居家还得办公，一早手机屏还碎了[笑哭]，还好没失联。
2021.12.23,2,《孤勇狗》
2021.12.23,76,大家蹲坑舒服吗[doge]
2021.12.23,26,为了庆祝馍馍百万，我今天就把我B站首个三连送给你[热词系列_三连]
2021.12.23,201,早安，拉肚子人[Cat_escort]
2021.12.23,68,我笑着笑着就哭了，我还正常么？[笑哭]
2021.12.23,5,"选图精准
卡点到位
三连已给
热门定位"
2021.12.23,9,🌹🌹学无止境，我们这些家长也学着上哗哩哗哩👍👍琢磨琢磨孩子们喜欢看什么样的内容😊😊现在看来我更放心了，哗哩哗哩风气很好，适合孩子们茁壮成长💪💪🤝🤝
2021.12.23,43,早上好，考研人
2021.12.23,9,草，笑死我了，哪来这么多完美契合歌词的狗子[笑哭]
2021.12.23,22,早，考试人
2021.12.23,2,分享两个群  自己又看了两遍 太好笑了
2021.12.23,15,今天不卡点开始卡歌词了是吗
2021.12.23,15,早安，考研人[藏狐]
2021.12.23,1,你就是，大名鼎鼎的孤狗（google）？[doge][doge][doge]
2021.12.23,1,未经狗苦，莫劝狗善，是吧？沉船人[脱单doge]
2021.12.23,1,狗：终有一天，我会打败大橘猫，成为狗族英雄！[热词系列_燃起来了]
2021.12.23,13,这期挺好。三连了
2021.12.23,1,妈呀，这每句歌词都对应视频，也是太牛了吧！[妙啊][妙啊][妙啊]
2021.12.23,7,总有一天我要让全村的狗都在村里[doge]
2021.12.23,2,这配图也太牛逼了吧up  一键三连了[热词系列_三连]
2021.12.23,9,早安，西安考研人
2021.12.23,1,破案了，双城之战其实是狗头主演[doge]
2021.12.23,1,我终于白嫖到了馍馍百万粉丝，今天就给个币随个份子
2021.12.23,2,看到弹幕建议把歌词“都，是勇敢的”都改成“狗，是勇敢的”直接蚌埠住了
2021.12.23,1,从馍馍二十几万粉追更到现在，我依然坚持不关注[doge]
2021.12.23,1,从馍馍二十几万粉追更到现在，我依然坚持不关注[doge]
2021.12.23,5,早安，背肖四的人[藏狐]
2021.12.23,5,早安，开始预习的人[脸红]
2021.12.23,1,@喵喵喵喵喵仙人
2021.12.23,3,早安，早八人
2021.12.23,3,👴🏻。。孤勇者原版，👴🏻青结。后面👴🏻忘了！
2021.12.23,3,早安，隔离人
2021.12.23,2,早安，保底人[脸红]
2021.12.23,3,妈耶，快要笑不活了哈哈哈哈哈[笑哭]
2021.12.23,2,哈哈哈哈
2021.12.23,2,卡bgm不是很正常吗，他可是龙馍馍啊[脱单doge]
2021.12.23,2,笑不活了
2021.12.23,1,可爱
2021.12.23,1,乖乖
2021.12.23,1,哈哈哈哈哈哈哈妙啊
2021.12.23,1,来摸下馍馍百万pp[脱单doge]
2021.12.23,1,好活[热词系列_三连]
2021.12.23,1,厉害了
2021.12.23,1,当年学校跑八百米的时候，狗跑的都比我快[藏狐]
2021.12.23,1,一把子支棱起来了
2021.12.23,1,小时候最怕狗对自己伸懒腰了，一对着自己伸懒腰肯定要被老师揍
2021.12.23,1,我要一步一步往上爬，我要做狗高
2021.12.23,1,1:26 有点帅[捂眼]
2021.12.23,1,2:34
2021.12.23,1,太牛了
2021.12.23,1,《蛄蛹者》
2021.12.23,1,🌿
2021.12.23,1,逆天
2021.12.23,1,我宣布 我大二哈就是英雄[狗子][狗子][狗子]
2021.12.23,1,hhh好家伙 刚在ppx刷过
2021.12.23,1,总有一天，全站的人，都要关注你[doge]
2021.12.23,1,早安，中午下班人
2021.12.23,1,二哈对素材的贡献功不可没
2021.12.23,1,南无阿弥陀佛
2021.12.23,1,陈奕迅表示很淦[doge]
2021.12.23,1,总有一天，所有的火锅店都要高看我们[doge]狗头保命[doge]
2021.12.23,1,@32929637535_bili 哈哈哈哈哈哈
2021.12.23,1,好活
2021.12.23,1,早安，赖床不起人[脱单doge]
2021.12.23,1,祝自己生日快乐！[小电视_笑]
2021.12.23,1,他好像一条狗啊.
2021.12.23,1,这命运的枪确实可以搞出人命来[doge][doge][doge]
2021.12.23,1,他卡点一直可以的，没想到卡词也那么好
2021.12.23,1,这首歌放佛是为了这个视频才创作的[脸红]
2021.12.23,1,孤勇狗  二哈占一半
2021.12.23,1,哈哈哈哈哈哈哈哈太好笑了吧，好合适
2021.12.23,1,神他妈卡点
2021.12.23,2,早安，期末不慌开摆人[藏狐]
2021.12.23,1,中午好，打工摆烂人
2021.12.23,1,求BGM
2021.12.23,1,吓死我了
2021.12.23,1,@银河特困生
2021.12.23,1,"陈奕迅粉丝不知所措[微笑]
馍馍也太强了吧"
2021.12.23,1,狗子:呵，愚蠢的人类，等吾学会了你们人类的语言，吾必翻身做主人[藏狐][doge]
2021.12.23,2,早安，期末爆炸人
2021.12.23,2,早安，期末差最后一科考完回家人[吃瓜]
2021.12.23,1,2:34，吓的我蛋疼菊紧[辣眼睛][辣眼睛][辣眼睛]
2021.12.23,2,早安四六级不过人[妙啊]
2021.12.23,1,这个视频不火，天理难容！！！！！
2021.12.23,1,绝了！
2021.12.23,1,现在卡点都这么硬核了吗？卡歌词，你是真的离谱
2021.12.23,2,BGM是什么呀？
2021.12.23,1,这期质量爆炸
2021.12.23,2,早安，蹲坑便秘人[脸红]
2021.12.23,1,"我发布了一篇笔记，快来看看吧
看到这些可爱的狗子们，特别开心，让自己本来不美好的心情瞬间好了起来，这些动物们的表现真的太搞笑了，不知道是天生的还是人为的，竟然可以抓拍到这些宝贵的画面，...
https://www.bilibili.com/h5/note-app/view?cvid=14536627&pagefrom=comment"
2021.12.23,1,牛啊！
2021.12.23,1,[热词系列_再来亿遍]
2021.12.23,1,质量太高了，竟然无法白嫖了，可恶！
2021.12.23,1,早上好，西安被封城人[哭泣][哭泣]
2021.12.23,1,这期好用心了[捂眼]
2021.12.23,1,不去换尿布还有空发视频[doge][doge]
2021.12.23,1,我不是要证明自己了不起，我要让别人知道失去的东西一定要拿回来[doge]
2021.12.23,1,早安，蹲坑人
2021.12.23,1,早安，吃早饭人[脱单doge]
2021.12.23,1,没听过这首歌，请问这是MV吗？[妙啊]
2021.12.23,1,不愧是你
2021.12.23,1,[doge]   勇  者
2021.12.23,1,撤硕遗物2=1来个小明[doge][doge][doge]
