时间,点赞,评论
2021.12.09,1241,看到的人立马变开心！[大笑]
2021.12.09,463,第一次这么近!西瓜好可爱[打call]
2021.12.09,268,是怎么做到皇冠不掉的难道和波吉一样拥有反重力[热词系列_知识增加]
2021.12.09,279,舞蹈的力度真的太好了！！！西瓜跳的好有活力，我感觉好像看到了长大后的波吉[打call][打call]
2021.12.13,36,除了服装和BGM其他的感觉和波吉没啥关系换个别的BGM和服装也一样属实是百搭
2021.12.12,21,感觉不如隔壁猛男[doge]
2021.12.09,80,我的天！！！好可爱！！！！！！！搭配的非常还原啊啊啊！！你就是恢复了力量的王子吧！！！！
2021.12.09,54,编舞超棒!西瓜超可爱!在现场!我是腰带!前面发了两条都不见了，吞我评太过分了[抓狂]
2021.12.11,22,太救命了首页突然给我推到了你然后我就开始考古太救命太救命了瓜瓜你为什么这么宝藏为什么你不火哇真的真的真的呆斯ki乌乌乌乌乌50万+粉没有就离谱为啥哇为啥[大哭][大哭][大哭]
2021.12.19,2,好元气好可爱！！！跳的也太可爱了！！！感觉看了之后可以开心一整天！！！三连啦！加油加油加油鸭！[打call]
2021.12.11,8,想知道纸做的皇冠怎么夹在头发上的而且还好稳还有舞蹈超级棒！好有活力！翻跳预定！[打call][打call][打call]
2021.12.09,22,顶着小黄花跳舞的瓜[脱单doge]
2021.12.12,2,能出教程吗？
2021.12.12,2,太有活力啦！[打call][打call][打call]
2021.12.18,1,最喜欢的版本！！西瓜跳的这个最棒！要是有教程就好啦[脸红][脸红][脸红]
2021.12.09,7,啊啊啊好可爱的波吉SAMA呜呜呜，瓜瓜太棒了！！[小电视_太太喜欢][小电视_太太喜欢][小电视_太太喜欢]
2021.12.16,1,超级有活力！！好可爱！！！
2021.12.16,1,太可爱啦
2021.12.09,3,[打call][脱单doge]
2021.12.09,4,瓜瓜好好看[星星眼][星星眼][星星眼]
2021.12.13,1,啊啊啊啊啊西瓜好可爱，跳的也好棒！！！
2021.12.09,3,王子！！！！
2021.12.10,2,立马翻跳[OK][OK][OK]
2021.12.10,2,什么？居然是跟prayer X一个乐队？完全没发现[大哭]
2021.12.11,1,皇冠好服帖！！！！
2021.12.10,1,感觉之前录的那身更好看一些，当然了这身cos的也很可爱
2021.12.11,1,kawaiiiiiiii[喜欢]
2021.12.09,1,可爱！
2021.12.17,1,[脸红][脸红][脸红][脸红][脸红]
2021.12.11,1,"这也太好看了吧！[星星眼][星星眼][星星眼]
衣服也好好看，很还原[给心心]"
2021.12.23,0,爱了！！
2021.12.23,0,嘻嘻
2021.12.23,0,变得开心了！嘻嘻嘻
2021.12.22,0,这个光真的好好看啊
2021.12.22,0,这身好好看啊！！
2021.12.21,0,总感觉点没完全卡上 好像快了一点点..
2021.12.20,0,用力过度....
2021.12.21,0,可爱瓜
2021.12.20,0,送上第9999个👍，真的好棒
2021.12.19,0,查理大帝
2021.12.19,0,可爱！（于是我进行了一个不会的翻跳）
2021.12.09,1,老婆[给心心][星星眼]
2021.12.10,1,好可爱的瓜！！！[打call][打call]
2021.12.10,1,超级好看的瓜!编舞好可爱的——
2021.12.09,1,可愛死我了[脱单doge][脱单doge][脱单doge]
2021.12.10,1,不是黑鞋差评
2021.12.19,0,太好了[亲亲]
2021.12.17,0,这才是舞蹈区应该的样子，清流啊！
2021.12.19,0,🥰
2021.12.18,0,上衣链接姐姐姐姐姐姐可以给我吗[大哭]
2021.12.09,1,我滴天，好可爱[星星眼][星星眼]
2021.12.18,0,求上衣链接！[保佑][脸红]
2021.12.19,0,[脸红][脸红][脸红]
2021.12.18,0,好棒
2021.12.19,0,舞很好看很有活力，小姐姐好可爱！[脸红][给心心]
2021.12.17,0,[脸红][脸红][脸红]
2021.12.17,0,[脸红]
2021.12.17,0,瓜瓜好可爱啊
2021.12.17,0,看着真的好开心啊[给心心]
2021.12.17,0,看完真的好开心！！！
2021.12.17,0,[脸红]
2021.12.16,0,真好看[惊喜][惊喜][惊喜]
2021.12.16,0,[脸红]
2021.12.16,0,所有视频都刷了一遍，这个发型yyds简直在我xp上跳舞[星星眼]
2021.12.16,0,awsl[打call]
2021.12.15,0,西瓜又努力又认真！！超棒~！
2021.12.15,0,真的变开心了！！！好棒！！！就是没看够！！hhh有点突然！喜欢！！[星星眼][星星眼][星星眼]
2021.12.14,0,怎么说呢[思考]
2021.12.12,0,🍀
2021.12.12,0,up好赞，血书求出教程
2021.12.12,0,三连有啦！
2021.12.12,0,这个波吉可以带回家吗？
2021.12.12,0,不懂就问，姐姐衣服有链接吗？[doge][doge][doge][doge][doge]
2021.12.12,0,好想要教程呜呜呜呜(┯_┯)
2021.12.12,0,太喜欢了!!!不知道可不可以授权一下翻跳[保卫萝卜_哭哭]
2021.12.12,0,好可爱啊
2021.12.12,0,我直接从小红书追到b站来三连
2021.12.10,0,(=・ω・=)
2021.12.13,0,心动了，太可爱了，救命
2021.12.13,0,你好可爱呜呜呜呜呜
2021.12.12,0,好可爱！！
2021.12.12,0,太可爱了叭！！[Cat2_CatAMail][Cat2_Launch!]
2021.12.12,0,好美啊啊啊，啊啊
2021.12.12,0,想学
2021.12.14,0,啊啊啊啊啊啊啊啊啊啊啊啊太可爱了！！
2021.12.13,0,哇塞！！！！！太棒了吧！
2021.12.13,0,好可爱好可爱
2021.12.12,0,太可爱了，好治愈
2021.12.12,0,这个力度，这个编舞，绝了
2021.12.13,0,都说可爱，难道只有我觉得很帅吗[doge]久违的刷到了我较满意的宅舞，收藏了[OK]
2021.12.13,0,为什么不火
2021.12.13,0,是王子！
2021.12.12,0,好治愈！！！
2021.12.12,0,最近真的好高产！
2021.12.12,0,在现场，是衣服
2021.12.12,0,想要上衣链接
2021.12.13,0,波吉不是把衣服给卡克了么，[呲牙][呲牙][呲牙]
2021.12.12,0,太可爱了！！
2021.12.12,0,好治愈哦！！
2021.12.10,0,为什么这个皇冠它不掉
2021.12.09,0,这个发色好看 学会了 先去染白金再去染棕色
2021.12.09,0,最近疯狂被这首op洗脑，听完就会变开心!
2021.12.09,0,瓜瓜好可爱
2021.12.09,0,西瓜太可爱了！！！
2021.12.09,0,好可爱好元气！好喜欢波吉式穿搭
2021.12.09,0,我凑好可爱
2021.12.09,0,皇冠怎么固定的啊哈哈哈哈哈哈哈[doge]
2021.12.11,0,哇哦爱了爱了[给心心]
2021.12.11,0,真的看到了超级开心耶
2021.12.11,0,好棒捏！想学！
2021.12.11,0,波吉还穿了黑色的战靴
2021.12.11,0,超有活力的舞蹈！[打call]
2021.12.11,0,好可爱啊！！！
2021.12.11,0,太卡瓦啦！
2021.12.11,0,看舞蹈房时就特别喜欢没想到正式版的这么快 爱住了[打call][打call]
2021.12.11,0,太可爱啦好久没有看到这么元气的舞蹈了啊啊啊
2021.12.11,0,瓜瓜太强了！！！！好可爱呀！超元气的感觉！！
2021.12.11,0,呜哇哇哇哇哇看了会开心
2021.12.11,0,超可爱啊啊啊啊[保卫萝卜_哇][保卫萝卜_哇][保卫萝卜_哇]
2021.12.11,0,求求教程解析[给心心][doge]
2021.12.11,0,求求教程解析[给心心][doge]
2021.12.11,0,@路过的蓝发少年
2021.12.11,0,真的太可爱啦!
2021.12.11,0,太可爱了吧
2021.12.11,0,妈呀太可爱了吧！！！！
2021.12.11,0,等到了等到了等到了！！！放假立刻安排翻跳！！！！！！！！！
2021.12.10,0,好可爱！
2021.12.10,0,好有元气哦！
2021.12.10,0,好可爱啊呜呜呜
2021.12.10,0,你好可爱[保卫萝卜_笔芯]
2021.12.10,0,西瓜太可爱啦！
2021.12.10,0,好可爱啊
2021.12.10,0,啊啊啊好喜欢[给心心][给心心]
2021.12.10,0,可爱！！
2021.12.10,0,看着好开心！
2021.12.10,0,瓜瓜超棒！
2021.12.10,0,太元气啦！！
2021.12.10,0,你币有了
2021.12.10,0,西瓜真的太好看了！！！
2021.12.10,0,瓜瓜太可爱了！！！！！！！！！！！！！！！1
2021.12.10,0,太可爱了呜呜呜
2021.12.10,0,舞蹈和西瓜一样可爱！！[给心心][给心心]
2021.12.10,0,元気がいい！
2021.12.10,0,哈哈哈哈哈哈是可以感染快乐的舞蹈！
2021.12.10,0,可爱！
2021.12.10,0,太厉害了！
2021.12.10,0,啊啊啊啊啊啊喜欢就是说！
2021.12.10,0,西瓜越来越棒啦！！！！
2021.12.10,0,好棒啊，首页通知书
2021.12.10,0,瓜瓜可爱死了[喜欢][嘟嘟][嘟嘟]
2021.12.10,0,可爱，好想抱着瓜瓜rua啊
2021.12.10,0,太可爱啦！！！
2021.12.10,0,见瓜瓜立马冲进来[给心心][给心心][给心心]好可爱
