时间,点赞,评论
2021.11.29,525,童年DNA错乱系列[热词系列_妙啊]
2021.11.29,388,动漫区最会整活的，整活区最会做动漫的。
2021.11.29,91,火了火了[给心心][打call]
2021.11.29,35,有那味啦，真不错[给心心]，奖励你个三连吧[脱单doge]
2021.12.08,37,虽然很厉害但不要侮辱哆啦酱…这漫画简直反人类没道德
2021.12.01,29,啊啊想要做壁纸！可以求原图吗！[微笑]
2021.12.04,17,每天过的狗一样[doge]
2021.12.04,24,把想要原图的评论都赞了一遍（疯狂暗示😀）
2021.12.19,2,看画质，谁是盗版谁是正版不用说了吧[傲娇]
2021.11.29,54,看成了波多。。。[藏狐][辣眼睛][doge]
2021.12.01,8,三连了，请问有原图吗？可爱
2021.12.01,27,upup我给你一个三连，你把图片交出来[热词系列_你币有了]我劝你不要不识好歹[热词系列_锤]
2021.12.02,3,up能拿来当头像吗！！！！[亲亲]
2021.12.01,19,整挺好！~[保卫萝卜_笔芯][保卫萝卜_笔芯]
2021.11.30,8,[热词系列_好活][热词系列_三连]求壁纸_(:з」∠)_
2021.11.29,16,这么好的活，播放量和评论也太少了吧
2021.11.29,7,大家可以看我的收藏夹，大型系列6集动画片波吉在召唤，只有你想不到的，没有你看不到[脱单doge][脱单doge]
2021.12.14,1,@澪澪子-梦幻联动
2021.12.01,2,爱惨哆啦a梦了，蓝胖子要永远陪着我们啊！
2021.12.16,1,[脸红][脸红][脸红]
2021.11.29,287,"♛                                                      
︵         ✔       ︵                        メ
 ●                   ●                    （ ⊙  )۶
 """"                   """"                  ٩（  ⊙    ）
          ╲╱                                  ︶"
2021.12.03,2,蹲一个原图[doge]
2021.12.13,1,简称垃圾[doge]
2021.12.03,2,蹲图片，三连懂否[妙啊][妙啊]
2021.12.10,1,好耶[tv_doge]
2021.12.03,1,@纪久耐-
2021.12.07,1,求个图片太太，我想做头像，如果不方便也没事[tv_难过][tv_难过]
2021.12.07,1,我的基因修复程序现在在没日没夜的加班吧 [tv_doge][tv_doge][tv_doge]
2021.11.30,5,不能说很像，只能说一模一样
2021.12.05,1,做的很好，加油期待up的新视频
2021.12.03,1,哆啦冯巩
2021.12.03,1,"封面
https://b23.tv/j0rQzU 拿走不谢"
2021.12.03,1,Up有点东西啊
2021.11.29,6,来隔壁串个门[doge]BV12U4y1T7vy
2021.12.03,1,最近好视频越来越少，导致我攒了一些硬币，给你两个，不客气[微笑]
2021.11.29,5,"一开始：咦，我是怎么关注这个up主的
过一会：打开up主投稿的视频回顾回顾
过一段时间：hso，硬了，硬了
最后：我回不去了，兄弟萌[哦呼]"
2021.12.17,0,这嘴，小夫是吧
2021.11.29,2,很棒的
2021.12.19,0,[脸红][打call]
2021.11.29,2,我的波吉❤️
2021.11.29,2,太可爱了呜呜呜！！
2021.12.19,0,牛哇
2021.12.19,0,[脸红]
2021.12.19,0,[脸红][脸红][脸红]
2021.12.19,0,可爱
2021.12.18,0,[脸红]
2021.12.18,0,[脸红][脸红][脸红]
2021.12.18,0,[脸红]
2021.12.18,0,[脸红][脸红][脸红]
2021.11.30,1,我小时候那个光盘里最喜欢这几首
2021.11.29,1,很棒[打call][打call][打call]
2021.11.29,1,好可爱！
2021.11.29,1,很棒的说
2021.11.29,1,画得太好了
2021.11.29,1,哎呀！我掉了两个圆圆的东西[doge]
2021.12.04,1,双厨狂喜(*°▽°*)八(*°▽°*)♪
2021.12.02,1,真是人才呀
2021.12.01,1,[偶像梦幻祭2_躲墙角]
2021.11.30,1,猛然一看，还挺像大雄[藏狐]
2021.11.29,1,好消息，首页过来的
2021.12.02,1,毫无违和感[滑稽][喜欢][呲牙]
2021.12.18,0,[脸红]
2021.12.18,0,(ಡωಡ)
2021.12.18,0,[脸红][脸红]
2021.12.18,0,[脸红]
2021.12.17,0,[脸红][脸红][脸红]
2021.12.17,0,[脸红][脸红][脸红]
2021.12.17,0,[脸红]
2021.12.17,0,[脸红][脸红][脸红]
2021.12.17,0,[脸红][脸红][脸红]
2021.12.17,0,[脸红][脸红]
2021.12.04,1,".                    ♛                                                      
︵         ✔       ︵                        メ
 ●                   ●                    （ ⊙  )۶
 """"                   """"                  ٩（  ⊙    ）
          ╲╱                                  ︶
分享快乐[脱单doge]"
2021.12.17,0,up主好厉害！
2021.12.01,0,好可爱！！！(*╹▽╹*)
2021.12.16,0,[脸红]
2021.12.16,0,[脸红]
2021.12.16,0,太有才了！这才是原版
2021.12.07,0,[热词系列_好活]
2021.12.02,0,想起来一个动画片叫【马丁的早晨】
2021.12.04,0,最后的bgm是啥
2021.12.03,0,来个原图链接[星星眼]
2021.12.02,0,好可爱[罗小黑_鼓掌]
2021.12.02,0,画质调一下下，再把宽高比调一下下，完美[OK]
2021.12.03,0,绝活！
2021.12.03,0,质量好高！up主太牛了！
2021.12.03,0,[热词系列_知识增加]
2021.12.03,0,快!放到外网上去
2021.12.03,0,好活，不过有一个小细节是泰罗那个地方两个手应该是侧着的，原版里哆啦a梦的手也是变窄了，应该是想体现侧着，因为哆啦a梦的手是原型可能误导了up[doge]
2021.12.03,0,wow，好可爱哦[星星眼][喜欢]
2021.12.03,0,默认360p播放，一会看看1080啥样[保卫萝卜_哇]
2021.12.03,0,绝了这个
2021.12.03,0,好家伙
2021.12.03,0,可爱炸了[给心心][给心心][给心心][给心心]
2021.12.03,0,"up这个人盗了你好多视频。
https://b23.tv/j0rQzU "
2021.12.03,0,百变冯巩
2021.12.03,0,你怎么穿哆啦A梦的衣服，还用他的主题曲？[吃瓜]
2021.12.03,0,哈 拉 波 吉
2021.12.03,0,棒啊
2021.12.03,0,哇，有壁纸吗？
2021.12.03,0,不懂就问 波吉扮的是马丁的早晨嘛[doge]
2021.12.03,0,好可爱救命
2021.12.03,0,给你俩币，继续努力。
2021.12.03,0,吃灰去吧。
2021.12.03,0,太可爱啦！！！！！太会了
2021.12.02,0,我咋感觉这才是原版
2021.12.02,0,毫无违和感
2021.12.02,0,百变波吉[doge]
2021.12.02,0,有没有没水印的啊  想截图当头像都有水印[惊讶]
2021.12.02,0,求壁纸[doge]
2021.12.02,0,【偶尔会脱发几下】，up主你的币还要不要了[doge]
2021.12.02,0,这个手书质量也太高了
2021.12.02,0,对比之下你的画质太好了[doge]
2021.12.02,0,up能发图图吗？想用熊猫波吉的壁纸[给心心]
2021.12.02,0,朋友们不给三连我不答应啊
2021.12.02,0,@钟正林
2021.12.02,0,三连奉上
2021.12.02,0,奇才[脱单doge]
2021.12.02,0,加油[奋斗][奋斗]
2021.12.02,0,我想到了……壮壮哥哥[doge]
2021.12.02,0,两个都可爱
2021.12.02,0,好可爱15551
2021.12.02,0,这动漫，漫画后期带毒
2021.11.30,0,"♛                                                      
︵         ✔       ︵                        メ
 ●                   ●                    （ ⊙  )۶
 """"                   """"                  ٩（  ⊙    ）
          ╲╱                                  ︶"
2021.12.07,0,\/
2021.12.04,0,@南宫一号营业
2021.12.04,0,活儿整挺好，下次继续整
2021.12.04,0,作者辛苦了加油(ง •_•)ง
2021.12.04,0,nb啊
2021.12.04,0,波吉桑麻
2021.12.04,0,别拿原版骗我！[doge]
2021.12.04,0,波吉的早晨
2021.12.04,0,太可爱了 哈哈哈 有壁纸不？
2021.12.04,0,好活，果断三连[热词系列_吹爆]
2021.12.03,0,？？？我竟然已经关注过了？
2021.12.03,0,火钳刘明啊啊啊啊啊啊啊
2021.12.02,0,真不错
2021.12.02,0,牛
2021.12.02,0,给你点了
2021.12.14,0,波吉被黑的最惨的一次
2021.12.11,0,@斯德哥摩
2021.12.05,0,"哆啦A梦屁股大
一个马桶塞不下
两个马桶有点挤
三个马桶掉下去啦"
2021.12.04,0,什么叫梦幻联动啊
2021.12.02,0,完了，自从看完啵唧和冯巩老师的剪辑，我出不去了，咋看都是Q版冯老师，，
2021.12.02,0,[给心心][给心心][给心心]
2021.12.05,0,我要个壁纸….
2021.12.05,0,毫无痕迹，我看过是原作没错了[doge]
2021.12.04,0,@aibdwqos hhhhhh
2021.12.14,0,@想啃建厚的脸瓜子 哆啦波吉
2021.12.11,0,旧活新整[辣眼睛]
2021.12.07,0,全文背诵
2021.12.06,0,三连[生气][生气][生气]
2021.12.05,0,周深快来看波吉@卡布叻_周深 [热词系列_妙啊]
2021.12.04,0,首页通知书[doge]
2021.12.04,0,话说波吉的武器是什么呀，不会是加特林什么的吧
2021.12.02,0,这不火？三连了[脱单doge]
2021.12.01,0,牛逼
2021.12.07,0,[热词系列_吹爆]好
2021.12.06,0,怎么办，我要图片做头像。
2021.12.06,0,跪求壁纸啊啊啊啊啊
2021.12.01,0,看到波吉就投币[doge]，顺便求图，大佬[喜欢][喜欢][喜欢]
2021.12.01,0,66666666[doge]
2021.12.01,0,火了请踢踢我好吗？谢谢！
2021.12.07,0,制作辛苦了 三连
2021.12.04,0,火钳刘明[doge]
2021.12.02,0,插画有种神奇马丁的感觉[妙啊]
2021.12.02,0,良作无人？
2021.12.02,0,这才是真正值得给的三连[打call]
2021.12.02,0,你忘了最重要的事，4:3[doge]
2021.12.02,0,好好看 想要原图
2021.12.02,0,毫无违和感
2021.12.02,0,up做的好可爱！！！[给心心][鼓掌][鼓掌]
2021.12.02,0,妈咪！
2021.12.01,0,好活
2021.12.01,0,[tv_鼓掌][tv_鼓掌][tv_鼓掌]
2021.12.01,0,做的太棒了
2021.12.01,0,应该分成p1p2更好吧 感觉应该火才对但是因为时长影响了
2021.12.01,0,好可爱！！！！！必火！！！！！
2021.12.01,0,波  拉  a  吉  [doge][doge]
2021.12.01,0,已三连[脱单doge]logo也改一下就好了
2021.12.01,0,"♛                                                      
︵         ✔       ︵                        メ
 ●                   ●                    （ ⊙  )۶
 """"                   """"                  ٩（  ⊙    ）
          ╲╱                                  ︶"
2021.12.01,0,好可爱！！！(*╹▽╹*)
2021.12.11,0,有波吉的地方就有我，我是波吉永远的伙伴
2021.12.07,0,厉害了[打call][打call]
2021.12.02,0,如果可以建议up主做个书签应该很好哈哈哈
2021.12.02,0,蹲一波原图[脱单doge][脱单doge]
2021.12.02,0,太可爱了！
2021.12.02,0,双厨狂喜！！
2021.12.02,0,投币领图，劝你不要不识好歹[doge]
2021.12.02,0,火钳刘明  真滴不错
2021.12.02,0,up好强啊
2021.12.01,0,[热词系列_知识增加]厉害
2021.12.01,0,有壁纸吗[打call]
2021.12.09,0,辛苦了
2021.12.07,0,可爱
2021.12.01,0,加点日文更有内味
2021.12.01,0,成功勾引起我看多啦梦的兴趣了
2021.12.01,0,好可爱！
2021.12.01,0,我愿称之为《波吉的早晨》。
2021.12.01,0,好想当头像哇
2021.12.01,0,幸苦了
2021.12.01,0,找不到违和的地方
2021.12.01,0,自己画的吗？
2021.12.01,0,为什么会出现在我的首页，为什么[藏狐]
2021.12.01,0,好牛
2021.12.01,0,这个做的好棒
2021.12.01,0,画的好呀[热词系列_吹爆]
2021.12.01,0,太强了呜呜呜呜呜呜呜必须火！！！
2021.12.01,0,好可爱呀
2021.12.01,0,艸[doge]
2021.12.01,0,想起大学的姑娘给我唱这首歌 太美好了
2021.12.01,0,哈哈哈哈哈哈草
2021.12.01,0,最像哆啦A梦的不应该是卡克嘛[doge]
2021.11.30,0,好可爱！
2021.12.01,0,好棒！！
2021.11.30,0,可爱可爱[给心心]
2021.11.30,0,首页来哒！！
2021.11.30,0,好活，三连
2021.11.30,0,三连[脱单doge][脱单doge][脱单doge][脱单doge]
2021.11.30,0,好活！！！！
2021.11.30,0,up方便把图片分享出来吗，想做壁纸[大哭][大哭]
2021.11.30,0,已三连，视频不容易
2021.11.30,0,画的不错
2021.11.30,0,"波吉的V字脸其实跟傻了吧唧的大雄一样的
－⊙    ⊙－
         V"
2021.11.30,0,谁是大雄
2021.11.30,0,哈哈哈，做的真好
2021.11.29,0,只要能陪在波吉身边，就会变得好幸福[亲亲][亲亲]
2021.11.29,0,厉害[吃瓜][吃瓜]
2021.11.29,0,无限回忆。
2021.11.29,0,好厉害啊！！！首页了
2021.11.29,0,up画的太好了！
2021.12.19,0,[脸红][脸红][脸红][脸红]
2021.12.16,0,[脸红][脸红][脸红][脸红]
2021.12.23,0,做的太棒了，光看开头我就三连了
2021.12.23,0,[脸红]
2021.12.06,0,"♛
⌒           ⌒
●            ●
'''                 '''
      ╲╱"
