时间,点赞,评论
2023.04.11,6193,谁懂在国外的陕西人哭着看完的[大哭][大哭]
2023.04.11,7582,易俗社是真的接地气，人民喜欢什么就演什么，不仅在西安的剧场里演，也经常深入到三秦大地的乡土民间，这才是人民的剧社[星星眼]
2023.04.11,889,关于看戏的没有老年人这一点，大家莫担心陕西男人到了中年以后，慢慢就爱上了喝苦苦的十万大山茶，吃齁甜的水晶饼，看苍凉的秦腔戏，没有人会永远喜欢秦腔，但总有人喜欢秦腔！
2023.04.11,1954,弹幕说：这不就是音乐节吗。笑死，真贴切。
2023.04.11,1325,看到你们去陕西，第一反应是西安，没想到落脚我的家乡，从青铜器博物馆的俯拍到街头每一碗民俗小吃，看得我热泪盈眶。曾多次复刻一点乡味，臊子面的醋里好像缺点秦人的呛香甘冽，油泼面里辣椒总是隔靴搔痒……跟着你们走走停停，我好像也闻到了小时候每个摊位的撩人的油香；以前看秦腔的戏台总是耐不住性子听完，吵吵嚷嚷的广场沙尘混着叫好声、演员豪放的戏腔贯穿整个广场，那时候不明白演员的一腔赤诚，现在回想起来、这不就是秦人的音乐节嘛！谢谢你们走进宝鸡，万里外的我捧着一碗刚做得biangbiang面，敬我的故乡。
2023.04.11,3008,每碗泡馍都会保佑出门在外的陕西瓜怂
2023.04.11,2341,果然，陕西人的维生素全靠蒜补充[tv_doge]
2023.04.11,1367,这一期给我看哭了，我是安徽皖北的，我们那边听豫剧，和视频里面的场景都是一摸一样的。有唱戏的庙会就会形成一个小集市，各种好吃的还有好玩的，爷爷奶奶们拿着小马扎就坐在那，上午听完中午也不回家小摊上买点东西吃，等着下午场。我们这群孩子呢，也听不懂就是到处跑然后戏台是搭起来的，下面弯着腰小朋友都可以在里面跑来跑去的。有各种小摊位在下面比如拉那个球弹的（长大才知道骗人的）一块钱一次，中奖有51020不等，还有洞洞板可以戳的。附近肯定还会有套圈，打气球的。甚至吃的东西都差不多，有豌豆粉，那种剌出来的凉粉还有切块的炒粉都特别好吃，还有那种小小的煎包，里面就一点点肉也很便宜一块钱能买一锅（大概十个左右）还有就是甜粽子和浮子茶（就是类似于酒酿冲的饮料但是是热的）那时候就问家里大人要几块钱去赶会，几个小伙伴一起去，有可能一个人就两块钱三块钱五块钱，超过10元就是土豪了要省着用，玩套圈啥的玩的多中午就只能吃烧饼了[doge]甚至每年三月三的庙会，我们学校会放假一个下午让学生们特地去庙会上玩一下午。我记得有一年，我父母都外出打工不在家，我也没钱赶会，我姑姑特地找到我给我拿了钱，让我去赶会，这种事情对于小时候的我来说是个特别有仪式感的事情。长大了，故乡只有冬天了，也很少遇到这种事情了，小时候为了赶庙会，能和同学约着骑着自行车十几公里去，真的好怀念啊。那时候虽然经济条件差一些，但是快乐是很单纯很纯粹的事情，现在长大了随着阈值越来越高，很难遇到让人发自内心开心的那么纯粹的场景了。
2023.04.11,896,嗯……给大家普及下，大爷说的是：听坏五六个收音机了。说唱大哥说的是：正义必须战胜邪恶。都是本地发音。[OK]
2023.04.11,561,龙凤呈祥选段，汉刘备当年不得变在徐州种菜曾灌园。我兄弟同在汉王院行来在书房门用目观看两廊下挂枪孤心胆寒。
2023.04.11,457,我觉得刚才观众那段说得太好了，说书唱戏教人方，老话里的，人可以没啥文化，但他懂得娱乐里也包含道德规范与做人的道理，古老的戏曲功德无量啊，也希望有了解秦腔戏曲的可以参与创作。[鼓掌]
2023.04.11,365,我不理解啊！我广东长大，26岁大小伙儿，看这个视频本来波澜不惊的，直到秦腔老杨一开嗓，我突然哇的一声哭出来了！哭了5分钟为什么啊？
2023.04.11,371,在英国的宝鸡人要哭了
2023.04.11,258,真的非常非常想家，想念豆花泡馍，擀面皮，臊子面，非常非常感谢盗月社来我们这个可爱又无名的小城，想念大集里没有牙笑眯眯的爷爷们，想念咸鸭蛋爷爷的叫卖，想念渭河，想念铁路上呜呜叫的火车，非常非常想回家。特别特别想家。
