时间,点赞,评论
2021.12.03,1140,我是艾伦噎嗝儿2022年1月9日晚上我在帕拉迪岛等你届时我将再次暴打莱宝痛打胡桃夹并现场直播地鸣毁天灭地是兄弟就来和我一起塔塔开！[doge]
2021.12.11,387,2022.1.9我有场切除心脏的手术大家能为我加油吗[doge]
2021.12.03,358,如果獻出的心臟是可以說退就退的，那也是挺廉價的[藏狐]，調查兵團獻出的心臟正是因為這樣才顯得可貴。1月9號再次獻出心臟
2021.12.03,353,最后亿次，献出心脏
2021.12.12,122,我感觉最终季才是最好看的，虽然制作比不上前三季，但是没第四季，就像一个空壳的热血番一样
2021.12.03,148,等待1月9日，无悔献出的心脏！！！
2021.12.03,124,2022年1月9日最后一个踏踏开了
2021.12.06,73,1月9号，给青春划上句号.
2021.12.16,28,阿尔敏喜欢阿尼有问题？有问题？我觉得没问题很正常，原谅他们很奇怪吗？我认为我很奇怪，我明明没经历过他们的战争凭什么我替他们想，为什么他们能互相原谅，他们一同经历过生活背叛苦难战争。我认为他们能互相理解比我们观众中的任何人都能理解和平的来之不易[微笑]所以我还是要说不要认为作者能控制一个人物，因为当一个作者倾注所有精力刻画一个人物的时候，实际上他已经是一个活生生的人了。所以我才觉得巨人格外的真实窒息般的真实。往往真相和幸福只能选一个，而真相是要付出代价的。[无语]
2021.12.04,52,2022年1月9日这是我们最后的进巨
2021.12.06,9,黑艾伦真的大可不必[大哭]
2021.12.04,36,我还等着见证利威尔实现诺言的那一刻呢
2021.12.19,16,我稍微解释一下吧：接头成功之后，艾伦全知全能，信息量过大，脑子要坏了。并且在莱纳破门那一天的前一天，要求古力夏进入王城夺得始祖。夺得始祖的时间地点都是艾伦跟他说的。古力夏心软不想杀雷斯家，艾伦要求他把他们全族全部杀光。（否则艾伦第一次变成巨人被抓，到了法庭审判的时候，雷斯家就会把它接下来秘密审判，重新夺回始祖，后面的故事就没了。）艾伦把记忆送给小时候的自己，自己被骨架顶着的大头在一千米的高空，小艾伦在云端张开双臂说：这就是自由吗？（最后小艾伦看完131到139，树下树下醒来，流了一滴泪。）艾伦把灭世的记忆发给过去他老爸，古力夏可能是最痛恨马来的人，但他仍然不愿意看到世界上发生“如此可怕的事。”，他在路当中拜托吉克：一定要阻止艾伦！同时，在这个时候他就已经不想把进击的巨人继承给艾伦了。他想要阻止灭世。艾伦控制戴那弑母，古力夏不知道这是艾伦控制的。他知道马莱恐怕是想要把始祖当成武器。开始入侵墙壁之内。他以为卡罗拉的事完全是因为马莱。再次失去爱人，崩溃，13年之期已到，必死。他愤怒的把巨人传给艾伦，虽然他知道屠杀无辜是不对的，但他还是想毁灭马来，他已经被逼疯了。意思就是说：大艾伦为了自己现在此刻的伙伴，生活，岛，把小艾伦的母亲杀了。懂？（拯救除自己以外的自己的世界，他所爱的一切。）过去已经发生的事不会更改，艾伦接头后立刻就尝试救母亲，救利威尔班，萨沙，发现不行。甚至之后一步步发现是此刻的自己亲手杀了自己母亲。看过漫画的应该都知道我在说什么。没看过漫画的赶紧放下键盘给我去看。我只不过是把各个地方的碎片串起来。我说的是都是漫画中已经有的片段。大概就这么一回事，创哥这波藏的太深了。我第一遍看也很迷惑，但我相信能写出白夜的他，又捋了一遍。作为一本漫画，不能让读者一边看明白就是他自己的问题。但巨人还是真的神。转发的，我觉得这才是创哥的思想[微笑]
2021.12.03,30,虽然但是现在看到阿尔敏就晦气
2021.12.04,18,我比较喜欢的动漫：刀剑神域，罪恶王冠，进击的巨人，东京食尸鬼，终结的炽天使[大哭][大哭][大哭]
2021.12.08,12,新人up是真的没有播放量，也莫得粉丝，大多数都是在众多视频里没了身影，我给您点赞了，也请您给我的最新视频BV1NU4y1K7Ep点个赞吧，谢谢了[打call]
2021.12.03,14,[给心心]三笠可是我看着长大的
2021.12.03,14,一直都很喜欢艾伦
2021.12.17,4,只要你敢巨人，我就敢关注[doge]
2021.12.17,2,1月9号，那时候我还有几天就小高考了，艾伦祝我全过，好吗？
2021.12.03,13,1月9号
2021.12.03,9,永远の艾主席.[doge][脱单doge][脱单doge]
2021.12.05,6,wit神
2021.12.03,8,巨人永不灭[打call]
2021.12.06,3,我超，燃起来了
2021.12.15,2,还是接受不了失去了艾伦，毕竟三笠深爱着他
2021.12.13,2,1月9日为巨人再次先出心脏!!!
2021.12.12,2,1月9日我将最后一次献出心脏，我爱你，进巨[拥抱]
2021.12.11,2,我爱巨人一辈子，热爱生活，相往自由[脱单doge]
2021.12.10,2,为兵长献出心脏.
2021.12.10,2,最喜欢巨人的墙壁夺回战争（尤其是动漫里的）感觉空前绝后的强，剧情的推进，战斗，还有所埋的伏笔，在那里爆发
2021.12.04,3,心臓を捧げよう
2021.12.07,2,跪求封[给心心][给心心]
2021.12.19,1,[脱单doge][脱单doge][脱单doge][打call][打call]
2021.12.17,1,请问正版巨人在哪看（求资源[脱单doge]）
2021.12.17,1,火钳刘明
2021.12.15,1,塔塔开[小电视_赞]
2021.12.11,1,这tm不火？[打call][打call]
2021.12.09,1,火钳刘明
2021.12.05,1,有点眼熟
2021.12.05,1,青春可以回不去…但是永远不会逝去！！！
2021.12.23,0,怎么给之前有个up做的一样的[微笑][微笑]
2021.12.23,0,巨人看到三人组看海后面就没看了 有大佬讲解一下后面剧情吗[doge]
2021.12.22,0,"我一度在b站取消了巨人的追番，甚至将首页推荐的巨人相关都点了“不感兴趣”，只是因为不敢面对也不想回忆起那种难过。如今，浪潮已经慢慢平息，回头再来回忆，我忘不了以前熬夜看巨人看得泪流满面的日子，即便我不喜欢巨人的结局，我依然会喜欢巨人
我真是个感性的人"
2021.12.22,0,大结局那会，我是真心生气，为自己的期待错付了而生气，看到全网一片骂声的时候，我能理解，我也不喜欢这个结局。但生气背后更多的是难过，为巨人以这样的方式收场而难过
2021.12.22,0,总感觉海的哪边的敌人是我们
2021.12.22,0,这么快就忘记结局啦，互联网真的没有记忆啊
2021.12.21,0,「我很強，比你們任何人都強，非常強。」[爱心]
2021.12.21,0,好想再看一遍，但一想到结局，又提不起勇气
2021.12.21,0,为啥大家都知道是2022年1月9号啊？（我是看你们说的）
2021.12.20,0,我爱三笠
2021.12.20,0,塔塔开，燃死我了[打call]
2021.12.20,0,必须塔塔开，必须战斗
2021.12.04,1,很强啊，这要剪多久？
2021.12.19,0,最后一次，献出心脏
2021.12.19,0,塔塔开！
2021.12.19,0,BGM三连了
2021.12.19,0,我心目中的巨人永远是前三季，无论是剧情，画风，配乐，人设都是无可挑剔了，第四季看得实在是累，太现实主义，几乎完全照搬了现实中国家之间的那些矛盾冲突，看第四季的时候就断定这动漫绝对会烂尾，果不其然
2021.12.18,0,献出心脏[打call]
2021.12.03,1,塔塔开——！！
2021.12.17,0,巨人没有烂尾，期待1月9号！[打call]
